,fips,County Name,cases,deaths
1,36001,Albany County ,2503,115
2,36003,Allegany County ,74,2
3,36005,Bronx County ,49573,4853
4,36007,Broome County ,1037,72
5,36009,Cattaraugus County ,158,6
6,36011,Cayuga County ,143,2
7,36013,Chautauqua County ,228,4
8,36015,Chemung County ,163,2
9,36017,Chenango County ,207,6
10,36019,Clinton County ,126,4
11,36021,Columbia County ,516,47
12,36023,Cortland County ,91,1
13,36025,Delaware County ,102,4
14,36027,Dutchess County ,4490,153
15,36029,Erie County ,8492,594
16,36031,Essex County ,55,0
17,36033,Franklin County ,50,1
18,36035,Fulton County ,275,28
19,36037,Genesee County ,270,6
20,36039,Greene County ,289,13
21,36041,Hamilton County ,7,1
22,36043,Herkimer County ,239,5
23,36045,Jefferson County ,129,0
24,36047,Kings County ,62385,7247
25,36049,Lewis County ,34,5
26,36051,Livingston County ,165,4
27,36053,Madison County ,398,9
28,36055,Monroe County ,4710,250
29,36057,Montgomery County ,154,4
30,36059,Nassau County ,43203,2194
31,36061,New York County ,30458,3146
32,36063,Niagara County ,1440,88
33,36065,Oneida County ,2070,115
34,36067,Onondaga County ,3464,172
35,36069,Ontario County ,349,27
36,36071,Orange County ,11082,407
37,36073,Orleans County ,293,55
38,36075,Oswego County ,241,3
39,36077,Otsego County ,112,4
40,36079,Putnam County ,1421,63
41,36081,Queens County ,67968,7175
42,36083,Rensselaer County ,724,35
43,36085,Richmond County ,14764,1076
44,36087,Rockland County ,13864,507
45,36089,St. Lawrence County ,260,4
46,36091,Saratoga County ,715,15
47,36093,Schenectady County ,1023,39
48,36095,Schoharie County ,68,2
49,36097,Schuyler County ,21,0
50,36099,Seneca County ,84,1
51,36101,Steuben County ,290,29
52,36103,Suffolk County ,43224,1997
53,36105,Sullivan County ,1480,37
54,36107,Tioga County ,187,21
55,36109,Tompkins County ,228,0
56,36111,Ulster County ,2021,81
57,36113,Warren County ,300,30
58,36115,Washington County ,254,14
59,36117,Wayne County ,245,2
60,36119,Westchester County ,35933,1445
61,36121,Wyoming County ,112,4
62,36123,Yates County ,53,6
